Produzione di Rifiuti Urbani nella Regione Veneto - Anno 2015;;;;;;;;;;;;;;;;;;;
Bacino;Comune; Popolazione (n°); FORSU (kg); VERDE (kg); VETRO (kg); CARTA E CARTONE (kg); PLASTICA (kg);IMBALLAGGI METALLICI (kg);RAEE (kg); MULTIMATERIALE (kg); ALTRO RECUPERABILE (kg); RIFIUTI PARTICOLARI (kg);INGOMBRANTI (KG);SPAZZAMENTO (kg);CER 200301 - 200203 (kg); RIFIUTO TOTALE (kg); % RD (DGRV 288/14);UTENZE COMP. DOM. (n°);
;Piazzola sul Brenta; 11.251 ; 756.750 ; 788.360 ; 326.360 ; 531.550 ;;; 27.292 ; 365.340 ; 59.367 ; 6.257 ; 28.462 ; 77.310 ; 1.076.070 ; 4.043.118 ; 70,1 ; 1.616 ;
;Piombino Dese; 9.534 ; 520.860 ; 501.900 ; 264.410 ; 453.720 ; 1.740 ;; 37.524 ; 319.400 ; 224.290 ; 16.675 ; 161.710 ; 36.180 ; 701.180 ; 3.239.589 ; 71,4 ; 1.699 ;
;Pove del Grappa; 3.092 ; 253.925 ; 130.500 ; 31.644 ; 149.968 ; 98.579 ;; 15.499 ; -   ; 44.966 ; 5.634 ; 37.742 ; 31.240 ; 283.967 ; 1.083.664 ; 70,1 ;;
;Pozzoleone; 2.775 ; 45.900 ; 93.080 ; 97.020 ; 123.840 ; 42.710 ;; 15.100 ; -   ; 66.183 ; 5.005 ; 46.000 ; 1.180 ; 281.160 ; 817.178 ; 61,6 ; 715 ;
;Roana; 4.316 ; 415.620 ; 389.260 ; 204.290 ; 261.760 ; 239.660 ;; 22.458 ; -   ;; 2.329 ; 39.820 ; 427.460 ; 809.270 ; 2.811.927 ; 63,4 ;;
;Romano d'Ezzelino; 14.470 ; 1.168.858 ; 721.900 ; 436.316 ; 621.592 ; 298.744 ;; 87.663 ; -   ; 312.370 ; 25.604 ; 271.629 ; 125.400 ; 1.429.797 ; 5.499.873 ; 69,5 ; 473 ;
;Rosà; 14.417 ; 845.440 ; 1.687.240 ; 507.820 ; 721.850 ; 405.510 ;; 67.980 ; -   ; 240.590 ; 25.959 ; 186.770 ; 116.620 ; 1.385.950 ; 6.191.729 ; 74,7 ; 1.948 ;
;Rossano Veneto; 8.091 ; 552.420 ; 345.320 ; 249.680 ; 368.530 ; 217.790 ;; 26.264 ; -   ; 79.860 ; 9.904 ; 96.190 ; 66.080 ; 520.980 ; 2.533.018 ; 75,6 ; 686 ;
;Rotzo; 654 ; 31.800 ; 50.180 ; 30.670 ; 31.340 ; 32.310 ;; 3.910 ; -   ;; 372 ; 5.410 ; -   ; 86.190 ; 272.182 ; 66,9 ;;
;Rovolon; 4.967 ; 393.950 ; 223.960 ; 160.450 ; 271.980 ;;; 9.557 ; 173.720 ; 17.700 ; 3.134 ; 30.660 ; 6.600 ; 430.140 ; 1.721.851 ; 72,2 ;;
;Rubano; 16.225 ; 1.342.280 ; 403.525 ; 528.070 ; 851.424 ; 136.524 ;; 46.646 ; 487.060 ; 202.937 ; 11.941 ; 100.375 ; 178.870 ; 2.034.320 ; 6.323.972 ; 63,8 ; 1.333 ;
;Saccolongo; 4.940 ; 366.910 ; 417.610 ; 157.700 ; 202.872 ; 729 ;; 19.427 ; 125.360 ; 39.726 ; 3.206 ; 37.831 ; 22.760 ; 472.400 ; 1.866.531 ; 70,1 ;;
;San Giorgio delle Pertiche; 10.214 ; 677.860 ; 339.080 ; 293.320 ; 544.650 ; 2.200 ;; 34.616 ; 348.060 ; 173.803 ; 11.229 ; 76.352 ; 45.460 ; 841.210 ; 3.387.840 ; 70,8 ; 1.208 ;
;San Giorgio in Bosco; 6.327 ; 300.630 ; 283.240 ; 192.360 ; 346.270 ;;; 15.536 ; 240.670 ; 6.545 ; 4.947 ; 9.504 ; -   ; 478.810 ; 1.878.512 ; 72,3 ; 1.061 ;
;San Martino di Lupari; 13.177 ; 948.600 ; 763.440 ; 466.950 ; 658.240 ; 12.880 ;; 54.586 ; 457.880 ; 278.628 ; 14.444 ; 119.120 ; 100.860 ; 1.334.900 ; 5.210.528 ; 70,0 ; 901 ;
;San Nazario; 1.705 ; 146.794 ; 21.420 ; 80.567 ; 79.689 ; 62.722 ;; 8.407 ; -   ; 39.522 ; 2.236 ; 22.042 ; -   ; 189.197 ; 652.596 ; 68,6 ;;
;San Pietro in Gu; 4.523 ; 304.700 ; 210.560 ; 134.800 ; 216.990 ; 122.230 ;; 18.520 ; -   ; 62.200 ; 5.098 ; 94.110 ; 5.500 ; 358.320 ; 1.533.028 ; 70,4 ; 698 ;
;Santa Giustina in Colle; 7.219 ; 269.040 ; 158.962 ; 226.718 ; 352.782 ; 3.837 ;; 26.933 ; 245.750 ; 84.147 ; 7.708 ; 63.604 ; 14.640 ; 457.830 ; 1.911.951 ; 70,6 ; 1.468 ;
;Saonara; 10.265 ; 852.080 ; 755.390 ; 305.740 ; 562.790 ;;; 35.742 ; 284.700 ; 106.442 ; 15.578 ; 143.830 ; 43.490 ; 950.460 ; 4.056.242 ; 71,4 ; 360 ;
;Schiavon; 2.627 ; 153.160 ; 293.760 ; 104.880 ; 121.540 ; 64.790 ;; 12.310 ; -   ; 94.269 ; 3.777 ; 26.700 ; -   ; 305.540 ; 1.180.726 ; 72,5 ; 438 ;
;Selvazzano Dentro; 22.929 ; 1.735.830 ; 1.962.080 ; 702.810 ; 1.110.010 ;;; 54.850 ; 582.420 ; 68.658 ; 8.425 ; 582.078 ; 373.080 ; 2.619.303 ; 9.799.544 ; 63,7 ; 179 ;
;Solagna; 1.936 ; 164.323 ; 63.620 ; 120.843 ; 125.431 ; 86.016 ;; 11.428 ; -   ; 63.350 ; 3.471 ; 39.405 ; 20.640 ; 211.836 ; 910.363 ; 72,7 ; 73 ;
;Teolo; 9.065 ; 853.210 ; 848.840 ; 296.840 ; 436.400 ; 5.720 ;; 82.363 ; 273.940 ; 109.199 ; 12.268 ; 87.370 ; 37.100 ; 752.412 ; 3.795.662 ; 76,4 ; 476 ;
;Tezze sul Brenta; 12.826 ; 810.280 ; 1.196.240 ; 388.800 ; 585.900 ; 375.810 ;; 45.960 ; -   ; 120.530 ; 14.076 ; 283.680 ; 100.660 ; 968.940 ; 4.890.876 ; 75,2 ; 1.053 ;
;Tombolo; 8.352 ; 578.680 ; 458.480 ; 255.030 ; 293.320 ; 33.480 ; 2.080 ; 13.639 ; 206.380 ; 74.610 ; 7.257 ; 167.510 ; 90.560 ; 826.860 ; 3.007.886 ; 64,6 ; 477 ;
;Torreglia; 6.162 ; 596.300 ; 251.489 ; 176.493 ; 272.463 ;;; 14.307 ; 189.860 ; 113.741 ; 6.231 ; 63.862 ; 37.690 ; 430.140 ; 2.152.576 ; 75,0 ; 617 ;
;Trebaseleghe; 12.780 ; 728.220 ; 588.380 ; 368.140 ; 568.710 ; 56.660 ;; 56.115 ; 356.870 ; 111.870 ; 12.107 ; 81.240 ; 86.870 ; 1.384.880 ; 4.400.062 ; 64,6 ; 1.698 ;
;Valstagna; 1.855 ; 149.073 ; 19.970 ; 65.190 ; 69.280 ; 48.293 ;; 18.906 ; -   ; 59.261 ; 3.283 ; 41.127 ; 7.880 ; 161.594 ; 643.857 ; 69,9 ;;
;Veggiano; 4.694 ; 281.870 ; 277.480 ; 131.910 ; 239.180 ;;; 3.997 ; 142.940 ; 18.890 ; 1.837 ; 30.900 ; 18.260 ; 491.780 ; 1.639.044 ; 66,2 ; 238 ;
;Vigodarzere; 13.014 ; 800.710 ; 882.469 ; 362.366 ; 544.938 ; 9.798 ;; 44.706 ; 356.480 ; 116.058 ; 12.301 ; 83.383 ; 87.290 ; 749.130 ; 4.049.629 ; 77,4 ; 900 ;
;Vigonza; 22.748 ; 1.725.790 ; 1.905.520 ; 723.360 ; 1.245.830 ; 12.990 ;; 102.287 ; 686.440 ; 262.800 ; 20.452 ; 142.441 ; 179.080 ; 2.772.350 ; 9.779.340 ; 68,4 ; 1.470 ;
;Villa del Conte; 5.521 ; 232.060 ; 133.198 ; 178.262 ; 252.958 ; 2.203 ;; 19.445 ; 189.840 ; 51.473 ; 7.049 ; 35.625 ; -   ; 450.880 ; 1.552.993 ; 66,9 ; 1.007 ;
;Villafranca Padovana; 10.217 ; 634.020 ; 956.680 ; 255.230 ; 442.020 ;;; 32.687 ; 300.160 ; 107.587 ; 11.664 ; 191.230 ; 32.590 ; 735.000 ; 3.698.868 ; 73,5 ; 740 ;
;Villanova di Camposampiero; 6.144 ; 362.000 ; 89.040 ; 168.130 ; 259.390 ; 11.010 ;; 24.937 ; 185.400 ; 45.300 ; 6.632 ; 32.451 ; 21.490 ; 474.680 ; 1.680.460 ; 67,8 ; 607 ;
BRENTA Totale;; 588.941 ; 42.314.164 ; 36.047.216 ; 19.853.335 ; 30.214.173 ; 5.951.350 ; 29.980 ; 2.394.300 ; 12.601.804 ; 7.841.043 ; 692.201 ; 7.020.114 ; 5.741.989 ; 60.667.943 ; 231.369.612 ; 69,1 ; 50.907 ;
DESTRA PIAVE;Altivole; 6.911 ; 434.793 ; 240.203 ; 247.005 ; 285.799 ; 12.135 ;; 48.963 ; 239.995 ; 105.724 ; 11.026 ; 93.250 ; 37.946 ; 235.145 ; 1.991.984 ; 83,0 ; 753 ;
;Arcade; 4.470 ; 268.251 ; 350.565 ; 21.200 ; 220.411 ; 28.630 ;; 45.328 ; 253.571 ; 149.241 ; 6.926 ; 100.550 ; 23.951 ; 147.360 ; 1.615.984 ; 85,3 ; 586 ;
;Asolo; 9.128 ; 707.115 ; 231.893 ; 285.910 ; 419.087 ; 12.048 ;; 49.452 ; 381.329 ; 131.007 ; 11.564 ; 81.405 ; 55.167 ; 295.603 ; 2.661.580 ; 84,2 ; 859 ;
;Borso del Grappa; 5.924 ; 410.911 ; 245.387 ; 214.160 ; 227.405 ; 9.367 ;; 45.368 ; 216.796 ; 138.357 ; 12.213 ; 101.865 ; 37.879 ; 188.939 ; 1.848.647 ; 84,2 ; 756 ;
;Breda di Piave; 7.851 ; 453.313 ; 474.600 ; 21.200 ; 335.367 ; 44.948 ;; 56.312 ; 465.238 ; 283.303 ; 10.814 ; 124.385 ; 42.487 ; 238.498 ; 2.550.465 ; 85,2 ; 1.121 ;
;Caerano di San Marco; 8.017 ; 704.377 ; 347.878 ; 250.480 ; 379.147 ; 15.764 ;; 47.939 ; 246.671 ; 144.561 ; 12.301 ; 93.580 ; 44.971 ; 230.015 ; 2.517.684 ; 86,6 ; 534 ;
;Carbonera; 11.189 ; 699.809 ; 793.832 ; 19.300 ; 491.073 ; 53.995 ;; 53.441 ; 637.450 ; 408.864 ; 14.930 ; 136.520 ; 60.398 ; 367.110 ; 3.736.722 ; 85,3 ; 1.254 ;
;Casale sul Sile; 13.018 ; 990.384 ; 792.980 ; 26.880 ; 593.935 ; 54.008 ;; 63.333 ; 728.281 ; 358.560 ; 17.081 ; 139.390 ; 73.901 ; 547.969 ; 4.386.702 ; 83,1 ; 767 ;
;Casier; 11.341 ; 942.253 ; 753.407 ; 29.980 ; 580.093 ; 67.567 ;; 76.578 ; 633.284 ; 362.105 ; 15.564 ; 199.175 ; 59.321 ; 482.160 ; 4.201.487 ; 83,6 ; 581 ;
;Castelcucco; 2.215 ; 148.616 ; 151.452 ; 66.070 ; 91.922 ; 6.886 ;; 21.420 ; 67.840 ; 67.628 ; 3.757 ; 34.495 ; 13.156 ; 39.564 ; 712.806 ; 89,6 ; 259 ;
;Castelfranco Veneto; 33.234 ; 3.198.695 ; 2.116.235 ; 1.067.595 ; 1.812.567 ; 48.849 ;; 256.985 ; 1.527.129 ; 815.712 ; 47.007 ; 381.035 ; 417.424 ; 1.904.356 ; 13.593.589 ; 81,6 ; 1.786 ;
;Castello di Godego; 7.177 ; 515.544 ; 189.933 ; 232.975 ; 318.144 ; 12.917 ;; 37.512 ; 238.065 ; 206.107 ; 14.408 ; 126.950 ; 42.269 ; 250.551 ; 2.185.375 ; 83,0 ; 946 ;
;Cavaso del Tomba; 2.960 ; 190.091 ; 69.716 ; 105.440 ; 104.248 ; 6.188 ;; 18.053 ; 111.058 ; 67.732 ; 3.605 ; 29.900 ; 16.785 ; 194.238 ; 917.054 ; 74,3 ; 469 ;
;Cornuda; 6.267 ; 622.157 ; 329.984 ; 226.680 ; 320.350 ; 13.012 ;; 39.173 ; 208.504 ; 154.198 ; 7.863 ; 73.010 ; 44.187 ; 254.390 ; 2.293.508 ; 84,9 ; 549 ;
;Crespano del Grappa; 4.520 ; 384.732 ; 195.850 ; 140.430 ; 210.636 ; 9.138 ;; 41.679 ; 120.445 ; 184.316 ; 6.334 ; 70.520 ; 32.158 ; 188.759 ; 1.584.997 ; 83,8 ; 425 ;
;Crocetta del Montello; 6.080 ; 435.381 ; 207.798 ; 210.460 ; 265.814 ; 7.890 ;; 35.936 ; 200.529 ; 141.399 ; 7.702 ; 71.595 ; 38.184 ; 265.644 ; 1.888.332 ; 81,3 ; 715 ;
;Fonte; 5.923 ; 450.143 ; 277.817 ; 195.640 ; 248.774 ; 12.239 ;; 34.821 ; 202.508 ; 115.710 ; 7.725 ; 66.855 ; 37.324 ; 193.503 ; 1.843.059 ; 84,9 ; 565 ;
;Giavera del Montello; 5.142 ; 292.254 ; 202.762 ; 9.580 ; 230.844 ; 27.406 ;; 22.450 ; 330.356 ; 132.858 ; 8.488 ; 59.431 ; 29.052 ; 191.283 ; 1.536.764 ; 82,3 ; 755 ;
;Istrana; 9.299 ; 615.865 ; 388.595 ; 290.390 ; 391.587 ; 16.175 ;; 48.993 ; 276.298 ; 175.141 ; 9.966 ; 123.250 ; 52.363 ; 301.621 ; 2.690.244 ; 83,9 ; 950 ;
;Loria; 9.310 ; 583.606 ; 182.165 ; 289.655 ; 345.883 ; 12.724 ;; 41.133 ; 316.063 ; 155.321 ; 11.126 ; 105.235 ; 61.623 ; 269.290 ; 2.373.824 ; 83,0 ; 1.139 ;
;Maser; 5.070 ; 364.840 ; 334.332 ; 154.300 ; 190.696 ; 10.047 ;; 33.451 ; 153.612 ; 131.275 ; 10.886 ; 69.005 ; 31.057 ; 166.743 ; 1.650.244 ; 85,4 ; 727 ;
;Maserada sul Piave; 9.380 ; 625.278 ; 559.311 ; 22.940 ; 368.823 ; 31.153 ;; 47.310 ; 609.559 ; 250.574 ; 11.595 ; 66.180 ; 54.640 ; 366.416 ; 3.013.779 ; 83,6 ; 1.096 ;
;Monastier di Treviso; 4.276 ; 442.974 ; 403.231 ; 31.930 ; 222.104 ; 37.194 ;; 42.957 ; 279.895 ; 198.706 ; 8.602 ; 64.200 ; 22.740 ; 280.433 ; 2.034.966 ; 82,6 ; 395 ;
;Monfumo; 1.398 ; 101.688 ; 21.593 ; 53.300 ; 64.904 ; 2.525 ;; 12.244 ; 40.303 ; 34.825 ; 2.157 ; 17.095 ; 3.917 ; 42.151 ; 396.702 ; 85,1 ; 294 ;
;Montebelluna; 31.228 ; 2.615.033 ; 1.921.348 ; 952.055 ; 1.684.250 ; 49.221 ;; 185.654 ; 1.197.176 ; 680.973 ; 43.628 ; 401.355 ; 386.998 ; 1.452.840 ; 11.570.531 ; 82,7 ; 2.179 ;
;Morgano; 4.487 ; 263.565 ; 293.344 ; 17.710 ; 212.695 ; 31.069 ;; 35.242 ; 256.135 ; 152.990 ; 7.416 ; 78.430 ; 26.742 ; 136.379 ; 1.511.717 ; 85,7 ; 673 ;
;Nervesa della Battaglia; 6.789 ; 379.374 ; 286.065 ; 34.620 ; 304.806 ; 39.329 ;; 49.023 ; 485.475 ; 177.833 ; 9.898 ; 104.190 ; 65.918 ; 273.984 ; 2.210.515 ; 81,4 ; 1.363 ;
;Paderno del Grappa; 2.192 ; 175.316 ; 78.533 ; 94.355 ; 157.681 ; 3.138 ;; 17.608 ; 59.028 ; 57.016 ; 2.756 ; 35.225 ; 16.479 ; 72.881 ; 770.016 ; 86,0 ; 287 ;
;Paese; 21.969 ; 1.568.630 ; 1.480.962 ; 31.400 ; 973.472 ; 78.135 ;; 84.956 ; 1.323.035 ; 445.601 ; 25.148 ; 188.235 ; 137.564 ; 854.724 ; 7.191.862 ; 83,6 ; 1.701 ;
;Pederobba; 7.451 ; 690.574 ; 363.170 ; 217.275 ; 325.002 ; 14.275 ;; 56.411 ; 222.785 ; 187.869 ; 9.673 ; 138.050 ; 43.922 ; 373.230 ; 2.642.236 ; 81,1 ; 934 ;
;Ponzano Veneto; 12.540 ; 862.394 ; 774.251 ; 23.680 ; 527.602 ; 47.476 ;; 66.487 ; 745.919 ; 285.174 ; 13.795 ; 132.400 ; 68.041 ; 498.366 ; 4.045.585 ; 83,0 ; 1.258 ;
;Possagno; 2.177 ; 152.630 ; 90.996 ; 97.005 ; 106.301 ; 3.663 ;; 17.110 ; 88.613 ; 42.897 ; 3.419 ; 25.990 ; 11.879 ; 80.529 ; 721.032 ; 84,2 ; 275 ;
;Povegliano; 5.251 ; 277.501 ; 244.946 ; 12.500 ; 226.108 ; 23.859 ;; 29.290 ; 339.411 ; 149.271 ; 8.536 ; 56.339 ; 30.070 ; 167.216 ; 1.565.047 ; 83,8 ; 747 ;
;Preganziol; 16.749 ; 1.422.390 ; 1.132.428 ; 20.550 ; 808.547 ; 49.087 ;; 70.453 ; 1.035.336 ; 344.397 ; 21.617 ; 149.860 ; 101.034 ; 610.257 ; 5.765.956 ; 85,0 ; 914 ;
;Quinto di Treviso; 9.844 ; 791.128 ; 644.440 ; 16.980 ; 512.228 ; 49.781 ;; 71.035 ; 630.517 ; 299.882 ; 13.305 ; 142.645 ; 67.165 ; 391.881 ; 3.630.987 ; 84,4 ; 938 ;
;Resana; 9.522 ; 694.060 ; 168.959 ; 304.550 ; 354.742 ; 13.955 ;; 56.270 ; 303.443 ; 211.153 ; 12.369 ; 116.120 ; 55.837 ; 306.651 ; 2.598.109 ; 83,0 ; 1.159 ;
;Riese Pio X; 11.067 ; 773.201 ; 319.810 ; 358.675 ; 413.053 ; 20.110 ;; 52.595 ; 347.329 ; 225.619 ; 13.589 ; 111.310 ; 87.496 ; 355.756 ; 3.078.543 ; 83,5 ; 1.104 ;
;Roncade; 14.369 ; 978.954 ; 1.010.852 ; 30.550 ; 739.685 ; 41.209 ;; 63.219 ; 846.845 ; 483.195 ; 16.380 ; 143.605 ; 77.676 ; 548.436 ; 4.980.606 ; 85,4 ; 1.792 ;
;San Biagio di Callalta; 12.950 ; 929.651 ; 902.348 ; 26.400 ; 608.701 ; 77.398 ;; 67.203 ; 771.372 ; 484.141 ; 16.837 ; 175.020 ; 72.371 ; 437.541 ; 4.568.983 ; 86,2 ; 1.371 ;
;San Zenone degli Ezzelini; 7.437 ; 491.314 ; 253.440 ; 222.895 ; 278.835 ; 12.754 ;; 51.452 ; 195.129 ; 138.544 ; 11.936 ; 90.170 ; 42.156 ; 201.775 ; 1.990.400 ; 85,0 ; 692 ;
;Silea; 10.171 ; 971.977 ; 681.753 ; 21.160 ; 719.630 ; 55.227 ;; 49.442 ; 683.342 ; 316.804 ; 14.154 ; 119.420 ; 67.008 ; 753.228 ; 4.453.145 ; 79,3 ; 817 ;
;Spresiano; 12.176 ; 1.000.106 ; 853.251 ; 19.720 ; 549.314 ; 47.112 ;; 63.749 ; 745.714 ; 319.100 ; 15.550 ; 119.870 ; 97.834 ; 552.085 ; 4.383.405 ; 82,7 ; 1.030 ;
;Susegana; 11.835 ; 990.384 ; 874.769 ; 34.620 ; 709.390 ; 85.655 ;; 60.563 ; 752.088 ; 353.985 ; 17.127 ; 159.705 ; 68.632 ; 619.366 ; 4.726.284 ; 83,3 ; 1.392 ;
;Trevignano; 10.761 ; 671.282 ; 442.742 ; 333.280 ; 388.635 ; 10.184 ;; 48.974 ; 338.405 ; 142.048 ; 15.215 ; 101.740 ; 61.837 ; 311.299 ; 2.865.641 ; 84,4 ; 1.267 ;
;Treviso; 83.731 ; 9.913.427 ; 4.421.297 ; 235.000 ; 5.970.790 ; 190.043 ;; 320.734 ; 6.356.433 ; 1.596.664 ; 97.702 ; 652.750 ; 972.336 ; 4.760.372 ; 35.487.548 ; 82,0 ; 1.524 ;
;Vedelago; 16.874 ; 1.398.610 ; 515.588 ; 502.280 ; 566.458 ; 11.955 ; 18.540 ; 64.673 ; 529.064 ; 259.229 ; 17.955 ; 126.745 ; 99.846 ; 561.345 ; 4.672.288 ; 83,7 ; 2.018 ;
;Villorba; 18.056 ; 1.532.986 ; 1.368.951 ; 52.720 ; 1.113.062 ; 85.251 ; 16.220 ; 151.246 ; 1.149.126 ; 604.287 ; 27.501 ; 205.060 ; 103.603 ; 1.071.147 ; 7.481.160 ; 82,0 ; 2.043 ;
;Volpago del Montello; 10.151 ; 515.287 ; 614.157 ; 28.040 ; 423.746 ; 59.847 ;; 56.225 ; 664.071 ; 246.048 ; 13.442 ; 136.545 ; 62.580 ; 406.351 ; 3.226.339 ; 82,2 ; 1.791 ;
;Zenson di Piave; 1.805 ; 118.422 ; 167.061 ; 4.520 ; 82.378 ; 14.371 ;; 16.971 ; 112.800 ; 63.468 ; 2.502 ; 30.440 ; 9.280 ; 50.044 ; 672.257 ; 88,1 ; 219 ;
;Zero Branco; 11.261 ; 643.834 ; 515.560 ; 16.190 ; 450.987 ; 76.776 ;; 53.625 ; 659.930 ; 271.011 ; 15.425 ; 119.495 ; 85.456 ; 440.545 ; 3.348.834 ; 81,6 ; 1.377 ;
DESTRA PIAVE Totale;; 552.943 ; 45.405.100 ; 30.282.540 ; 7.922.230 ; 27.927.711 ; 1.743.685 ; 34.760 ; 3.081.041 ; 29.323.300 ; 13.452.423 ; 740.515 ; 6.289.590 ; 4.252.660 ; 23.929.969 ; 194.385.524 ; 83,1 ; 49.146 ;
PADOVA CENTRO;Abano Terme; 19.950 ; 2.969.790 ; 1.876.990 ; 537.650 ; 1.307.880 ;;; 43.112 ; 1.356.960 ; 102.829 ; 9.440 ; 144.790 ; 101.070 ; 5.508.090 ; 13.958.601 ; 56,9 ; 171 ;
;Albignasego; 25.577 ; 2.092.750 ; 1.764.040 ; 839.800 ; 1.397.488 ; 9.310 ;; 141.352 ; 796.040 ; 313.913 ; 31.134 ; 191.430 ; 357.840 ; 2.109.690 ; 10.044.787 ; 71,6 ; 772 ;
;Casalserugo; 5.348 ; 403.410 ; 326.760 ; 162.500 ; 258.800 ;;;; 152.520 ;; 822 ; 9.520 ; 93.860 ; 443.610 ; 1.851.802 ; 68,6 ; 260 ;
;Padova; 210.401 ; 19.210.522 ; 6.116.545 ; 2.145.150 ; 15.999.600 ; 8.590 ; 8.840 ; 720.506 ; 13.979.250 ; 3.748.534 ; 190.440 ; 2.361.310 ; 1.130.302 ; 55.575.590 ; 121.195.179 ; 49,5 ; 771 ;
;Ponte San Nicolò; 13.529 ; 1.164.040 ; 756.130 ; 399.640 ; 813.570 ;;; 29.572 ; 389.480 ; 211.161 ; 15.696 ; 156.670 ; 39.250 ; 1.196.660 ; 5.171.869 ; 72,3 ; 479 ;
PADOVA CENTRO Totale;; 274.805 ; 25.840.512 ; 10.840.465 ; 4.084.740 ; 19.777.338 ; 17.900 ; 8.840 ; 934.542 ; 16.674.250 ; 4.376.437 ; 247.532 ; 2.863.720 ; 1.722.322 ; 64.833.640 ; 152.222.238 ; 52,7 ; 2.453 ;
PADOVA SUD;Agna; 3.368 ; 210.530 ; 182.180 ; 112.130 ; 177.780 ;;; 6.695 ; 122.980 ; 44.452 ; 3.487 ; 52.880 ; 16.070 ; 297.830 ; 1.227.014 ; 69,0 ; 372 ;
;Anguillara Veneta; 4.451 ; 211.840 ; 236.540 ; 136.560 ; 151.560 ;;; 27.850 ; 157.720 ; 54.396 ; 5.816 ; 66.160 ; 2.370 ; 422.270 ; 1.473.082 ; 65,4 ; 629 ;
;Arquà Petrarca; 1.874 ; 122.040 ; 90.320 ; 93.260 ; 67.820 ;;; 3.287 ; 62.060 ; 2.300 ; 437 ; 8.210 ; -   ; 199.180 ; 648.914 ; 66,1 ; 337 ;
;Arre; 2.152 ; 120.700 ; 145.890 ; 84.770 ; 145.510 ;;; 6.090 ; 92.610 ; 69.344 ; 669 ; 56.050 ; 38.780 ; 234.620 ; 995.033 ; 66,3 ; 320 ;
;Arzergrande; 4.767 ; 253.410 ; 295.160 ; 146.360 ; 264.240 ;;; 16.828 ; 183.380 ; 11.250 ; 4.093 ; 50.400 ; 9.380 ; 358.360 ; 1.592.861 ; 71,9 ; 647 ;
;Bagnoli di Sopra; 3.618 ; 235.850 ; 327.140 ; 121.900 ; 171.440 ;;; 12.182 ; 133.300 ; 9.137 ; 790 ; 125.320 ; 29.500 ; 289.390 ; 1.455.949 ; 69,8 ; 442 ;
;Baone; 3.110 ; 224.440 ; 427.700 ; 120.320 ; 109.720 ;;; 5.560 ; 86.380 ; 4.072 ; 1.287 ; 25.340 ; 4.520 ; 257.680 ; 1.267.019 ; 76,3 ; 141 ;
;Barbona; 671 ; 38.060 ; 17.800 ; 31.910 ; 18.300 ; 15.600 ;; 710 ; -   ; 2.061 ; 766 ; 6.400 ; -   ; 48.200 ; 179.807 ; 69,6 ;;
;Battaglia Terme; 3.881 ; 376.690 ; 404.580 ; 133.360 ; 210.220 ;;; 22.175 ; 110.080 ; 69.272 ; 4.758 ; 100.360 ; 39.200 ; 216.420 ; 1.687.115 ; 79,1 ; 202 ;
;Boara Pisani; 2.555 ; 269.260 ; 313.580 ; 83.520 ; 94.220 ;;; 3.196 ; 86.640 ; 8.286 ; 559 ; 4.900 ; -   ; 232.860 ; 1.097.021 ; 76,6 ; 18 ;
;Bovolenta; 3.482 ; 142.990 ; 177.576 ; 113.330 ; 197.010 ;;; 23.000 ; 115.580 ; 175.872 ; 14.701 ; 92.280 ; 8.980 ; 272.390 ; 1.333.709 ; 72,0 ; 582 ;
;Brugine; 7.034 ; 436.030 ; 295.876 ; 196.720 ; 408.180 ;;; 24.644 ; 254.880 ; 88.720 ; 6.957 ; 36.720 ; 22.960 ; 548.870 ; 2.320.557 ; 71,6 ; 939 ;
;Candiana; 2.394 ; 110.530 ; 145.920 ; 68.510 ; 98.130 ;;; 15.357 ; 83.140 ; 26.797 ; 1.973 ; 39.100 ; -   ; 159.900 ; 749.357 ; 72,3 ; 516 ;
;Carceri; 1.580 ; 81.280 ; 143.053 ; 41.460 ; 54.470 ;;; 1.777 ; 49.140 ; 3.937 ; 508 ; 24.088 ; -   ; 83.320 ; 483.033 ; 76,8 ; 238 ;
;Cartura; 4.665 ; 263.970 ; 414.580 ; 160.960 ; 238.920 ;;; 4.174 ; 150.080 ; 5.847 ; 1.288 ; 37.690 ; 25.080 ; 470.110 ; 1.772.699 ; 68,5 ; 438 ;
;Casale di Scodosia; 4.859 ; 260.580 ; 232.704 ; 103.100 ; 273.180 ;;; 5.567 ; 176.760 ; 165.767 ; 6.769 ; 81.632 ; 76.980 ; 376.410 ; 1.759.449 ; 68,6 ; 488 ;
;Castelbaldo; 1.552 ; 107.640 ; 160.648 ; 66.460 ; 64.670 ;;; 3.007 ; 57.220 ; 4.602 ; 434 ; 74.867 ; 17.780 ; 100.780 ; 658.108 ; 71,9 ; 217 ;
;Cinto Euganeo; 2.025 ; 137.820 ; 64.720 ; 86.680 ; 61.420 ;;; 3.216 ; 59.890 ; 2.187 ; 1.094 ; 11.460 ; -   ; 206.040 ; 634.527 ; 64,0 ; 464 ;
;Codevigo; 6.440 ; 511.320 ; 546.180 ; 207.540 ; 347.820 ;;; 15.613 ; 272.200 ; 75.280 ; 7.632 ; 73.900 ; 13.670 ; 500.920 ; 2.572.075 ; 75,1 ; 837 ;
;Conselve; 10.302 ; 949.160 ; 682.539 ; 364.700 ; 683.300 ;;; 42.637 ; 428.720 ; 491.268 ; 15.946 ; 370.970 ; 99.930 ; 1.238.090 ; 5.367.260 ; 68,3 ; 1.006 ;
