BELLUNO;Rocca Pietore;1256;109536;13031;79085;89666;9287;-;13227;61004;72785;4303;25802;18412;92231;588369;75.6;215;
BELLUNO;San Gregorio Nelle Alpi;1613;97460;-;58468;62259;10130;-;8945;29475;51958;5384;30780;-;38270;393129;85.8;460;
BELLUNO;San Nicolo' Di Comelico;406;17415;2579;-;32155;22839;-;1871;35261;22214;496;1441;-;52273;188544;68.9;23;
BELLUNO;San Pietro Di Cadore;1624;53610;29445;-;84865;70982;-;7640;85531;101114;2033;6437;-;205313;646970;65.6;138;
BELLUNO;San Tomaso Agordino;644;56159;6681;40547;45971;4761;-;6782;31276;37316;2206;13229;9440;47287;301655;75.6;197;
BELLUNO;San Vito Di Cadore;1857;226300;85590;-;176840;49550;-;15295;162690;50698;1377;10830;2560;442020;1223750;62.0;137;
BELLUNO;Santa Giustina;6807;447405;13040;267538;351234;47090;-;43696;130225;185531;13819;106350;40120;236280;1882328;83.3;1388;
BELLUNO;Santo Stefano Di Cadore;2609;126313;60447;-;118097;98349;-;12344;121361;166619;3269;10395;42180;389800;1149174;60.2;247;
BELLUNO;Sappada;1317;158897;-;;132483;85896;-;6230;93778;71381;1938;17331;-;269735;837669;64.7;105;
BELLUNO;Sedico;9997;572280;135820;-;487900;21010;-;60282;385190;254402;16449;188360;106890;1865300;4093883;47.7;1951;
BELLUNO;Selva Di Cadore;520;45352;5395;32744;37125;3845;-;5477;25258;30135;1781;10683;7623;38187;243605;75.6;122;
BELLUNO;Seren Del Grappa;2448;116634;-;101182;107597;42380;-;17717;28887;90623;10395;49380;12240;114200;691235;78.7;515;
BELLUNO;Sospirolo;3140;188730;-;;161660;8240;-;20928;140640;100808;7067;111780;-;85590;825443;75.6;698;
BELLUNO;Soverzene;389;21290;4752;810;13287;100;-;4842;26566;16765;1022;6233;-;14210;109877;76.3;109;
BELLUNO;Sovramonte;1444;34630;-;60998;67500;10720;-;13726;35340;72313;6386;25360;-;83040;410013;75.7;519;
BELLUNO;Taibon Agordino;1759;153405;18250;110758;125576;13006;-;18524;85435;101934;6026;36136;25787;129169;824006;75.6;458;
